TabId,TabTitle,TabUniverse,DataProductType,Year,Geo1year,Geo5year
B05003E,Sex by Age by Nativity and Citizenship Status (Native Hawaiian and Other Pacific Islander Alone) ,People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003F,Sex by Age by Nativity and Citizenship Status (Some Other Race Alone) ,People who are Some Other Race alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003G,Sex by Age by Nativity and Citizenship Status (Two or More Races) ,People who are Two or More Races,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003H,"Sex by Age by Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) ","White alone, not Hispanic or Latino population",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003I,Sex by Age by Nativity and Citizenship Status (Hispanic or Latino) ,People who are Hispanic or Latino,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05004,Median Age by Nativity and Citizenship Status by Sex ,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05005,Period of Entry by Nativity and Citizenship Status in the United States ,Population born outside the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
C05005,Period of Entry by Nativity and Citizenship Status in the United States ,Population born outside the United States,Detailed Table,1,Excludes Puerto Rico geographies,
B05005PR,Period of Entry by Nativity and Citizenship Status in Puerto Rico ,Population born outside Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05006,Place of Birth for the Foreign-Born Population in the United States,Foreign-born population excluding population born at sea,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
C05006,Place of Birth for the Foreign-Born Population,Foreign-born population excluding population born at sea,Detailed Table,1,,
B05006PR,Place of Birth for the Foreign-Born Population in Puerto Rico,Foreign-born population in Puerto Rico excluding population born at sea,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05007,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population ,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05008,Sex by Place of Birth by Year of Entry for the Foreign-Born Population ,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05009,Age and Nativity of Own Children Under 18 Years in Families and Subfamilies by Number and Nativity of Parents ,Own children under 18 years in families and subfamilies,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C05009,Age and Nativity of Own Children Under 18 Years in Families and Subfamilies by Nativity of Parents ,Own children under 18 years in families and subfamilies,Detailed Table,1,,
B05010,Ratio of Income to Poverty Level in the Past 12 Months by Nativity of Children Under 18 Years in Families and Subfamilies by Living Arrangements and Nativity of Parents ,Own children under 18 years in families and subfamilies for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C05010,Ratio of Income to Poverty Level in the Past 12 Months by Nativity of Children Under 18 Years in Families and Subfamilies by Nativity of Parents ,Own children under 18 years in families and subfamilies for whom poverty status is determined,Detailed Table,1,,
B05011,Period of Naturalization ,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05012,Nativity in the United States ,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B05012PR,Nativity in Puerto Rico ,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05013,Sex by Age for the Foreign-Born Population ,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05014,Sex by Age for the Foreign-Born Population ,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05015,Place of Birth by Year of Entry for the Foreign-Born Population  ,Foreign-born population excluding population born at sea,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B06001,Place of Birth by Age in the United States ,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
C06001,Place of Birth by Age in the United States ,Total population in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
B06001PR,Place of Birth by Age in Puerto Rico ,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
C06001PR,Place of Birth by Age in Puerto Rico ,Total population in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
B06002,Median Age by Place of Birth in the United States ,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06002PR,Median Age by Place of Birth in Puerto Rico ,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06003,Place of Birth by Sex in the United States ,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06003PR,Place of Birth by Sex in Puerto Rico ,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004A,Place of Birth (White Alone) in the United States ,White alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004B,Place of Birth (Black or African American Alone) in the United States ,Black or African American alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004C,Place of Birth (American Indian and Alaska Native Alone) in the United States ,American Indian and Alaska Native alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004D,Place of Birth (Asian Alone) in the United States ,Asian alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004E,Place of Birth (Native Hawaiian and Other Pacific Islander Alone) in the United States ,Native Hawaiian and other Pacific Islander alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004F,Place of Birth (Some Other Race Alone) in the United States ,Some other race alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004G,Place of Birth (Two or More Races) in the United States ,Two or more races population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004H,"Place of Birth (White Alone, Not Hispanic or Latino) in the United States ","White alone, not Hispanic or Latino population in the United States",Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004I,Place of Birth (Hispanic or Latino) in the United States ,Hispanic or Latino population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004APR,Place of Birth (White Alone) in Puerto Rico ,White alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004BPR,Place of Birth (Black or African American Alone) in Puerto Rico ,Black or African American alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004CPR,Place of Birth (American Indian and Alaska Native Alone) in Puerto Rico ,American Indian and Alaska Native alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004DPR,Place of Birth (Asian Alone) in Puerto Rico ,Asian alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004EPR,Place of Birth (Native Hawaiian and Other Pacific Islander Alone) in Puerto Rico ,Native Hawaiian and other Pacific Islander alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004FPR,Place of Birth (Some Other Race Alone) in Puerto Rico ,Some other race population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004GPR,Place of Birth (Two or More Races) in Puerto Rico ,Two or more races population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004HPR,"Place of Birth (White Alone, Not Hispanic or Latino) in Puerto Rico ","White alone, not Hispanic or Latino population in Puerto Rico",Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004IPR,Place of Birth (Hispanic or Latino) in Puerto Rico ,Hispanic or Latino population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06007,Place of Birth by Language Spoken at Home and Ability to Speak English in the United States ,Population 5 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
C06007,Place of Birth by Language Spoken at Home and Ability to Speak English in the United States ,Population 5 years and over in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
B06007PR,Place of Birth by Language Spoken at Home and Ability to Speak English in Puerto Rico ,Population 5 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
C06007PR,Place of Birth by Language Spoken at Home and Ability to Speak English in Puerto Rico ,Population 5 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
B06008,Place of Birth by Marital Status in the United States ,Population 15 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06008PR,Place of Birth by Marital Status in Puerto Rico ,Population 15 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
C06008PR,Place of Birth by Marital Status in Puerto Rico ,Population 15 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
B06009,Place of Birth by Educational Attainment in the United States ,Population 25 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06009PR,Place of Birth by Educational Attainment in Puerto Rico ,Population 25 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06010,Place of Birth by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) in the United States ,Population 15 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06010PR,Place of Birth by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) in Puerto Rico ,Population 15 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
C06010PR,Place of Birth by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) in Puerto Rico ,Population 15 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
B06011,Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Place of Birth in the United States ,Population 15 years and over in the United States with income,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06011PR,Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Place of Birth in Puerto Rico ,Population 15 years and over in Puerto Rico with income,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06012,Place of Birth by Poverty Status in the Past 12 Months in the United States ,Population in the United States for whom poverty status is determined,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06012PR,Place of Birth by Poverty Status in the Past 12 Months in Puerto Rico ,Population in Puerto Rico for whom poverty status is determined,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07001,Geographical Mobility in the Past Year by Age for Current Residence in the United States ,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
C07001,Geographical Mobility in the Past Year by Age for Current Residence in the United States ,Population 1 year and over in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
B07001PR,Geographical Mobility in the Past Year by Age for Current Residence in Puerto Rico ,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
C07001PR,Geographical Mobility in the Past Year by Age for Current Residence in Puerto Rico ,Population 1 year and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
B07002,Median Age by Geographical Mobility in the Past Year for Current Residence in the United States ,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07002PR,Median Age by Geographical Mobility in the Past Year for Current Residence in Puerto Rico ,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07003,Geographical Mobility in the Past Year by Sex for Current Residence in the United States ,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07003PR,Geographical Mobility in the Past Year by Sex for Current Residence in Puerto Rico ,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004A,Geographical Mobility in the Past Year (White Alone) for Current Residence in the United States ,White alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004B,Geographical Mobility in the Past Year (Black or African American Alone) for Current Residence in the United States ,Black or African American alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004C,Geographical Mobility in the Past Year (American Indian and Alaska Native Alone) for Current Residence in the United States ,American Indian and Alaska Native alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004D,Geographical Mobility in the Past Year (Asian Alone) for Current Residence in the United States ,Asian alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004E,Geographical Mobility in the Past Year (Native Hawaiian and Other Pacific Islander Alone) for Current Residence in the United States ,Native Hawaiian and other Pacific Islander alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004F,Geographical Mobility in the Past Year (Some Other Race Alone) for Current Residence in the United States ,Some other race alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004G,Geographical Mobility in the Past Year (Two or More Races) for Current Residence in the United States ,Two or more races population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004H,"Geographical Mobility in the Past Year (White Alone, Not Hispanic or Latino) for Current Residence in the United States ","White alone, not Hispanic or Latino population 1 year and over in the United States",Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
