,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
27365,29-01901,43,2,1,0,2,1,7,1,1,5434.8,9470,16,9,42000.0,6,324,N,2,2,2,2,265,253
27366,19-01700,37,1,1,0,1,1,3,1,1,3572.3,7860,11,10,20000.0,3,127,N,2,2,2,2,158,158
27367,38-00100,52,1,1,0,1,0,2,1,1,73.0,4470,5,5,30000.0,4,287,N,2,2,2,2,142,143
27368,30-00600,44,2,1,0,1,0,5,1,1,16.3,770,3,5,12000.0,2,435,N,2,2,2,2,228,281
27369,17-03529,55,2,1,0,1,2,4,1,1,15097.5,N,N,10,0.0,0,501,N,2,2,2,2,124,124
27370,19-01700,58,2,1,0,1,0,2,1,1,3572.3,6190,7,7,32000.0,5,472,N,2,2,2,2,115,115
27371,08-00803,44,2,1,0,1,2,4,1,1,3393.2,7890,11,9,3400.0,1,501,N,2,2,2,2,107,107
27372,29-01901,89,1,1,0,2,0,2,1,1,5434.8,N,N,5,5010.0,1,111,N,2,1,2,1,214,212
27373,51-51255,62,1,1,0,1,0,2,1,1,11224.3,9570,16,10,472000.0,9,501,N,2,2,2,2,50,48
27374,38-00100,37,2,1,0,1,0,2,1,2,73.0,8090,12,9,25000.0,4,501,N,2,2,2,2,77,233
27375,30-00600,56,1,1,0,1,0,2,1,1,16.3,770,3,5,78000.0,8,501,N,2,2,2,2,29,32
27376,29-01901,70,1,1,0,1,0,2,1,1,5434.8,N,N,10,84000.0,9,501,N,2,2,2,2,58,61
27377,38-00100,49,1,1,0,1,3,5,1,1,73.0,180,0,8,54000.0,7,188,N,2,2,2,2,25,25
27378,40-00200,59,1,1,0,2,0,2,1,1,90.7,N,N,4,0.0,0,0,N,2,1,2,2,38,38
27379,24-01004,68,1,1,1,5,0,2,1,1,4187.9,9370,16,9,40000.0,5,501,N,2,2,2,2,114,92
27380,40-00200,42,2,1,0,3,1,4,1,2,90.7,7860,11,8,35000.0,6,465,N,2,2,2,2,57,69
27381,24-01004,63,1,1,0,1,0,3,1,1,4187.9,9490,16,10,156000.0,9,501,N,2,2,2,2,71,71
27382,40-00200,42,2,1,0,2,1,3,1,2,90.7,770,3,7,45000.0,7,341,N,2,2,2,2,153,153
27383,32-00405,50,1,1,1,1,0,4,1,1,7990.5,8660,14,5,32000.0,5,188,N,2,2,2,2,201,201
27384,38-00100,72,2,1,0,1,0,2,1,1,73.0,180,0,9,33140.0,5,291,N,2,2,2,2,21,24
27385,51-01301,51,1,1,0,1,0,2,1,2,11162.8,9590,16,9,167000.0,9,501,N,2,2,2,2,123,122
27386,06-08507,63,1,1,0,6,0,2,1,1,3305.1,3365,4,12,200000.0,9,501,N,2,2,2,1,114,123
27387,08-00803,64,2,1,0,1,0,2,1,1,3393.2,7071,9,11,44400.0,6,501,N,2,2,2,2,104,99
27388,30-00600,51,2,1,0,1,0,2,1,1,16.3,8090,12,9,65050.0,8,501,N,2,2,2,2,56,69
27389,06-08507,53,2,1,0,6,0,4,1,1,3305.1,N,N,5,0.0,0,501,N,2,2,2,2,85,96
27390,24-01004,56,2,1,0,1,0,3,1,2,4187.9,N,N,10,0.0,0,422,N,2,2,2,2,276,267
27391,06-08507,44,1,1,0,6,2,4,1,2,3305.1,5593,6,9,584000.0,9,501,N,2,2,2,2,56,56
27392,24-01004,38,2,1,0,1,2,4,1,1,4187.9,8660,14,9,122000.0,8,501,N,2,2,2,2,110,110
27393,24-01004,74,2,1,0,1,0,2,1,1,4187.9,N,N,9,400100.0,9,501,N,2,2,2,2,72,70
27394,30-00600,45,1,1,0,1,2,4,1,1,16.3,370,1,8,26700.0,5,364,N,2,1,2,2,122,106
27395,38-00100,46,1,1,0,1,2,4,1,1,73.0,9680,17,10,144000.0,9,501,N,2,2,2,2,98,110
27396,29-01901,75,1,1,0,1,0,3,1,1,5434.8,1870,4,11,168100.0,9,501,N,2,2,2,2,144,137
27397,17-03529,59,1,1,0,2,2,4,1,1,15097.5,2070,4,10,589000.0,9,501,N,2,2,2,2,90,125
27398,30-00600,52,2,1,0,1,0,2,1,1,16.3,7860,11,7,30000.0,5,384,N,2,2,2,2,15,15
27399,38-00100,71,2,1,0,1,0,2,1,1,73.0,N,N,5,16500.0,3,197,N,2,2,2,2,22,20
27400,08-00803,34,1,1,0,2,0,2,1,2,3393.2,7580,10,9,66500.0,7,501,N,2,2,2,2,68,68
27401,36-04010,78,1,1,0,2,0,2,1,1,50441.6,N,N,3,26400.0,4,387,N,2,2,2,2,112,112
27402,06-07502,60,2,1,0,1,0,2,1,2,33632.6,6970,9,9,30000.0,5,501,N,2,2,2,2,90,77
27403,26-02702,40,1,1,0,1,3,5,1,1,4817.2,7870,11,12,4600.0,1,15,N,2,2,2,2,166,166
27404,38-00100,30,2,1,0,1,3,5,1,1,73.0,490,1,7,93000.0,8,343,N,2,2,2,2,89,92
27405,24-01004,77,2,1,0,1,0,2,1,2,4187.9,N,N,7,8000.0,2,501,N,2,1,2,2,57,65
27406,24-01004,31,1,1,0,1,0,2,1,1,4187.9,8590,14,9,135770.0,9,501,N,2,2,2,2,66,66
27407,06-08507,44,1,1,0,6,1,3,1,2,3305.1,7380,10,10,172500.0,9,501,N,2,2,2,2,69,69
27408,38-00100,44,1,1,0,1,0,2,1,1,73.0,180,0,8,100000.0,9,501,N,2,2,2,2,20,22
27409,08-00803,36,1,1,0,1,0,2,1,1,3393.2,6672,8,12,290000.0,9,501,N,2,2,2,2,61,97
27410,30-00600,42,1,1,0,1,2,4,1,1,16.3,7770,10,7,30000.0,5,116,N,2,2,2,2,51,51
27411,06-08507,42,1,1,0,6,2,4,1,1,3305.1,7970,12,11,278000.0,9,501,N,2,2,2,2,57,55
27412,24-01004,35,2,1,0,6,1,3,1,1,4187.9,7390,10,10,552000.0,9,501,N,2,2,2,2,56,55
27413,08-00803,44,1,1,0,1,2,4,1,1,3393.2,5080,6,9,283000.0,9,501,N,2,2,2,2,107,107
27414,17-03531,47,2,1,0,2,0,2,1,1,11171.6,9470,16,9,69000.0,7,501,N,2,2,2,2,101,101
27415,17-03529,60,1,1,0,1,0,2,1,1,15097.5,8680,14,5,48000.0,6,501,N,2,2,2,2,89,124
27416,36-04010,73,1,1,0,2,0,2,1,1,50441.6,N,N,8,32000.0,5,501,N,2,2,2,2,38,49
27417,24-01004,51,1,1,0,1,3,5,1,1,4187.9,5790,6,10,225000.0,9,501,N,2,2,2,2,64,64
27418,08-00803,58,1,1,0,1,0,2,1,1,3393.2,6991,9,7,170000.0,9,501,N,2,2,2,2,61,62
27419,38-00100,66,1,1,0,1,0,6,1,1,73.0,6370,7,7,77610.0,8,501,N,2,2,2,2,69,70
27420,51-51255,40,1,1,0,1,3,5,1,1,11224.3,6870,9,11,524000.0,9,501,N,2,2,2,2,64,54
27421,24-01004,48,2,1,0,6,2,4,1,1,4187.9,7970,12,10,1100.0,1,501,N,2,2,2,2,65,54
27422,08-00803,37,2,1,0,1,0,2,1,2,3393.2,7770,10,7,55000.0,6,501,N,2,2,2,2,194,195
27423,26-02702,52,2,1,0,1,3,5,1,1,4817.2,5170,6,10,100000.0,9,501,N,2,2,2,2,327,314
27424,08-00803,51,1,1,0,1,1,3,1,1,3393.2,7870,11,12,96100.0,8,501,N,2,2,2,2,135,135
27425,38-00100,27,1,1,0,3,0,2,1,1,89.18751321843125,8470,13,5,24000.0,4,434,N,2,2,2,2,110,158
27426,51-51255,58,2,1,0,1,0,2,1,1,11224.3,7380,10,9,516000.0,9,501,N,2,2,2,2,57,58
27427,17-03529,70,1,1,0,1,0,2,1,1,15097.5,N,N,5,8900.0,2,84,N,1,1,2,2,52,41
27428,30-00600,66,1,1,0,1,0,2,1,1,16.3,180,0,7,51600.0,7,501,N,2,2,2,2,17,17
27429,30-00600,85,1,1,0,1,0,2,1,1,16.3,N,N,6,17000.0,3,374,N,1,1,2,2,83,83
27430,17-03529,46,2,1,0,2,0,2,1,2,15097.5,7860,11,10,69200.0,7,501,N,2,2,2,2,99,99
27431,08-00803,66,2,1,0,1,0,2,1,1,3393.2,N,N,9,64000.0,7,501,N,2,2,2,2,70,72
27432,24-01004,38,2,1,0,1,3,5,1,1,4187.9,7460,10,10,170300.0,9,501,N,2,2,2,2,63,68
27433,51-51255,31,2,1,0,1,0,2,1,2,11224.3,9370,16,10,70000.0,7,501,N,2,2,2,2,75,75
27434,40-00200,31,2,1,0,1,2,4,1,2,90.7,8290,12,7,35000.0,6,214,N,2,2,2,2,103,102
27435,38-00100,67,2,1,0,1,0,2,1,1,73.0,N,N,8,9500.0,2,501,N,2,2,2,1,37,37
27436,06-08507,41,2,1,0,6,2,4,1,1,3305.1,7970,12,11,278000.0,9,501,N,2,2,2,2,58,54
27437,30-00600,62,1,1,0,1,0,3,1,1,16.3,7980,12,11,83000.0,9,501,N,2,2,2,2,382,382
27438,51-51255,67,1,1,0,1,0,2,1,1,11224.3,7460,10,12,141000.0,9,501,N,2,2,2,2,66,66
27439,06-08507,52,2,1,0,6,0,4,1,2,3305.1,7860,11,10,124000.0,9,501,N,2,2,2,2,46,52
27440,28-01100,70,2,1,0,2,0,3,1,1,2674.3,7890,11,9,89000.0,9,501,N,2,2,2,2,79,101
27441,30-00600,63,2,1,0,1,0,2,1,1,16.3,6180,7,5,43000.0,6,436,N,2,2,2,2,19,19
27442,19-01700,71,1,1,0,1,0,2,1,1,3572.3,N,N,9,37000.0,6,501,N,2,2,2,2,115,115
27443,26-02702,33,1,1,0,1,0,2,1,1,4817.2,8191,12,10,105000.0,9,501,N,2,2,2,2,65,65
27444,28-01100,56,2,1,0,1,0,2,1,2,2674.3,9160,15,7,44000.0,7,261,N,2,2,2,2,54,54
27445,29-01901,63,1,1,0,1,0,2,1,1,5434.8,6470,8,9,56500.0,7,501,N,2,2,2,2,79,79
27446,17-03531,68,2,1,0,2,0,2,1,1,11171.6,8191,12,9,70000.0,8,501,N,2,1,2,2,78,78
27447,29-01901,68,2,1,0,2,0,2,1,1,5434.8,N,N,9,10800.0,2,118,N,1,1,2,2,64,62
27448,51-51255,29,2,1,0,1,0,2,1,2,11224.3,9590,16,9,74000.0,7,501,N,2,2,2,2,53,50
27449,08-00803,35,2,1,0,2,0,2,1,2,3393.2,8680,14,10,3500.0,1,406,N,2,2,2,2,174,97
27450,17-03529,50,2,1,0,2,0,2,1,1,15097.5,7580,10,9,76000.0,8,480,N,2,2,2,2,72,72
27451,30-00600,60,2,1,0,1,0,2,1,1,16.3,8770,15,5,25000.0,4,456,N,2,2,2,2,44,45
27452,38-00100,47,2,1,0,1,0,4,1,1,73.0,6992,9,7,41000.0,6,188,N,2,2,2,2,94,93
27453,26-02702,51,2,1,0,1,0,2,1,1,4817.2,4795,6,10,294000.0,9,501,N,2,2,2,2,318,319
27454,38-00100,63,1,1,0,4,0,2,1,1,73.0,8270,12,5,17000.0,3,157,N,2,2,2,2,74,64
27455,32-00405,50,1,1,1,1,0,4,1,1,7990.5,8660,14,5,32000.0,5,188,N,2,2,2,2,198,201
27456,30-00600,45,2,1,0,1,0,3,1,1,16.3,7860,11,10,58000.0,8,501,N,2,2,2,2,179,180
27457,06-08507,56,2,1,0,1,0,2,1,1,3305.1,6870,9,10,440000.0,9,501,N,2,2,2,2,139,139
27458,51-01301,47,1,1,0,1,1,3,1,1,11162.8,7890,11,9,100000.0,8,501,N,2,2,2,2,55,69
27459,38-00100,56,2,1,0,1,0,3,1,1,73.0,8191,12,7,190000.0,9,501,N,2,2,2,2,82,98
27460,08-00803,54,1,1,0,1,2,4,1,1,3393.2,6890,9,7,120000.0,9,473,N,2,2,2,2,73,61
27461,38-00100,44,1,1,0,1,0,2,1,2,73.0,490,1,7,110000.0,9,501,N,2,2,2,2,83,79
27462,38-00100,31,2,1,0,1,2,4,1,2,62.932223865773196,8090,12,9,60000.0,7,417,N,2,2,2,2,707,398
27463,24-01004,57,1,1,0,1,0,2,1,1,4187.9,7860,11,10,95000.0,8,501,N,2,2,2,2,21,24
27464,38-00100,37,2,1,0,1,1,3,1,1,73.0,8370,13,9,50000.0,6,501,N,2,2,2,2,173,174
27465,29-01901,54,1,1,0,2,0,2,1,2,5434.8,7870,11,7,30500.0,5,295,N,2,2,2,2,177,156
27466,24-01004,56,1,1,0,1,1,3,1,1,4187.9,9570,16,11,175030.0,9,501,N,2,2,2,2,98,108
27467,29-01901,57,1,1,0,2,0,2,1,1,5434.8,7780,10,10,180000.0,9,501,N,2,2,2,2,102,119
27468,08-00803,67,1,1,0,1,0,2,1,1,3393.2,N,N,11,0.0,0,501,N,2,2,2,2,120,119
27469,29-01901,74,1,1,0,2,0,3,1,1,5434.8,N,N,8,50900.0,7,323,4,1,2,1,2,45,48
27470,32-00405,82,2,1,4,8,0,2,1,2,7990.5,N,N,8,8300.0,2,64,N,2,2,2,2,45,51
27471,32-00405,60,2,1,0,2,0,2,1,1,7990.5,9370,16,7,42100.0,6,395,N,2,2,2,2,108,112
27472,06-08507,60,2,1,0,1,0,3,1,1,3305.1,4170,5,9,0.0,0,501,N,2,2,2,2,52,52
27473,06-08507,56,2,1,0,1,0,2,1,1,3305.1,N,N,7,0.0,0,501,N,2,2,2,2,90,90
27474,24-01004,58,1,1,0,6,0,2,1,1,4187.9,7490,10,11,90000.0,8,501,N,2,2,2,2,59,60
27475,30-00600,54,2,1,0,1,0,2,1,1,16.3,180,0,7,375000.0,9,501,N,2,2,2,2,64,71
27476,24-01004,75,2,1,0,1,0,2,1,1,4187.9,N,N,9,31000.0,4,501,N,2,2,2,2,14,16
27477,06-08507,50,2,1,0,1,3,5,1,1,3305.1,8564,14,10,217000.0,9,501,N,2,2,2,2,68,67
27478,06-07502,38,1,1,0,6,2,4,1,1,33632.6,5593,6,9,250000.0,9,501,N,2,2,2,2,57,59
27479,32-00405,41,2,1,1,1,0,2,1,2,7990.5,7071,9,9,100000.0,9,501,N,2,2,2,2,60,67
