PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
06-07502,19,1,6,0,2,N,N,3,0,33632.6,N,N,6,0,0,0,N,2,2,2,2,2,0
29-01901,81,1,3,0,2,0,N,1,2,5434.8,N,N,7,6400,1,4,N,2,2,2,2,104,105
13-04600,20,2,6,4,1,N,N,3,0,3670.4,N,N,7,0,0,N,N,2,2,2,2,81,0
36-03710,23,1,6,1,1,N,N,2,0,52864.7,N,N,7,0,0,N,N,2,2,2,2,113,0
51-01301,87,2,3,0,1,0,N,1,1,11162.8,N,N,10,143000,9,501,N,1,2,2,2,125,123
29-01901,3,2,N,0,1,2,4,1,2,5434.8,N,N,1,N,N,178,N,N,N,2,2,67,65
08-00803,36,1,1,0,1,0,2,1,1,3393.2,1280,4,10,175100,9,501,N,2,2,2,2,86,87
01-01301,37,1,6,0,2,N,N,2,0,2731.2,8780,15,4,6000,2,N,N,2,2,2,2,71,0
51-01301,20,2,6,0,1,0,2,1,1,11162.8,8680,14,5,4000,1,309,N,2,2,2,2,43,39
28-01100,86,2,3,0,1,0,N,1,2,2674.3,N,N,5,14000,3,114,N,2,1,2,2,36,38
29-01901,49,1,4,0,2,0,2,1,2,5434.8,7860,11,7,33000,5,314,N,2,2,2,2,187,188
38-00100,2,1,N,0,6,0,3,1,1,73,N,N,N,N,N,379,N,N,N,2,2,20,13
36-03710,37,1,2,1,8,0,3,1,2,52864.7,6190,7,5,25000,4,206,N,2,2,2,2,199,178
17-03529,14,2,N,0,2,0,N,1,2,15097.5,N,N,3,N,N,45,N,2,2,2,2,211,194
24-01004,53,2,1,0,6,0,2,1,2,4187.9,N,N,9,0,0,370,N,2,2,2,2,54,61
36-04010,83,2,3,0,2,0,N,1,1,50441.6,N,N,8,21900,4,181,N,2,1,2,2,68,66
29-01901,4,2,N,0,1,0,N,1,1,5434.8,N,N,1,N,N,33,N,N,N,2,2,71,91
40-00200,39,1,1,0,3,0,3,1,2,90.7,570,2,5,80000,8,501,N,2,1,2,2,67,67
24-01004,41,1,1,0,1,2,4,1,1,4187.9,7460,10,10,133000,9,501,N,2,2,2,2,45,46
17-03529,28,1,6,0,2,1,2,1,2,15097.5,N,N,5,0,0,62,N,2,2,2,2,206,181
36-03710,65,1,6,0,2,0,N,1,2,52864.7,N,N,5,6000,2,110,N,2,2,2,2,39,38
30-00600,48,2,1,0,1,0,2,1,1,16.3,4971,6,7,10000,2,146,N,2,2,2,2,20,0
51-51255,22,1,6,0,1,0,N,1,2,11224.3,7380,10,9,115000,8,501,N,2,2,2,2,78,66
17-03529,22,2,6,0,1,0,N,1,2,15097.5,7470,10,9,800,1,19,N,2,2,2,2,88,61
19-01700,30,1,1,0,1,1,3,1,1,3572.3,6991,9,10,60000,8,372,N,2,2,2,2,53,65
30-00600,2,2,N,0,3,3,5,1,1,16.3,N,N,N,N,N,501,N,N,N,2,2,229,99
36-03710,50,2,1,0,2,0,2,1,2,52864.7,6380,7,7,25500,4,229,N,2,2,2,2,80,62
38-00100,47,2,1,0,1,0,2,1,1,73,7270,10,12,150000,9,501,N,2,2,2,2,256,256
17-03529,45,1,1,0,2,1,3,1,2,15097.5,770,3,7,144000,9,501,N,2,2,2,2,92,93
13-04600,22,1,6,0,2,0,3,1,1,3670.4,N,N,5,0,0,2,N,2,2,2,2,66,69
28-01100,44,1,1,0,1,2,4,1,1,2674.3,3095,4,10,385000,9,501,N,2,2,2,2,98,100
06-07502,23,2,6,0,2,0,N,1,2,33632.6,7870,11,9,37000,5,291,N,2,2,2,2,34,35
08-00803,28,1,1,0,1,0,2,1,2,3393.2,4795,6,9,82000,8,501,N,2,2,2,2,111,120
17-03529,46,1,6,0,3,0,N,1,2,15097.5,7590,10,7,90000,9,490,4,1,2,1,2,208,213
13-04600,49,1,4,0,2,0,3,1,2,3670.4,9170,15,6,47000,6,501,N,2,2,2,2,109,106
17-03529,29,1,6,0,1,0,N,1,1,15097.5,7870,11,11,76000,8,501,N,2,2,2,2,81,89
38-00100,17,1,6,0,1,3,5,1,1,73,N,N,4,800,0,139,N,2,2,2,2,56,25
38-00100,12,1,N,0,1,3,5,1,1,73,N,N,3,N,N,102,N,2,2,2,2,123,99
06-08507,56,2,6,0,1,0,N,1,2,3305.1,7080,9,9,82000,8,501,N,2,2,2,2,49,49
19-01700,57,2,1,0,1,0,2,1,1,3572.3,5170,6,7,61000,7,501,N,2,2,2,2,52,52
30-00600,11,2,N,0,9,3,5,1,1,16.3,N,N,3,N,N,288,N,2,2,2,2,54,52
29-01901,62,2,6,0,2,0,2,1,2,5434.8,1090,4,5,34600,5,297,N,2,2,2,2,50,52
17-03529,13,1,N,0,9,1,2,1,1,15097.5,N,N,3,N,N,109,N,2,2,2,2,67,56
06-07502,52,1,6,0,1,0,N,1,2,33632.6,4870,6,4,26100,4,148,2,2,1,2,2,182,181
38-00100,63,1,4,0,1,0,N,1,1,73,2070,4,4,84500,8,501,N,2,2,2,2,276,277
06-08507,54,1,1,0,6,1,3,1,1,3305.1,7380,10,10,251000,9,501,N,2,2,2,2,50,51
30-00600,0,1,N,0,1,2,4,1,1,16.3,N,N,N,N,N,501,N,N,N,2,2,22,13
30-00600,6,1,N,0,1,0,4,1,1,16.3,N,N,1,N,N,329,N,2,2,2,2,54,25
36-03710,64,2,3,2,2,2,5,1,1,52864.7,7860,11,9,50000,6,413,N,2,2,1,2,59,58
36-04010,7,1,N,0,2,1,6,1,2,50441.6,N,N,1,N,N,427,N,2,2,2,2,117,96
51-01301,11,2,N,0,1,2,4,1,1,11162.8,N,N,3,N,N,501,N,2,2,2,2,49,47
26-02702,25,2,6,0,1,0,N,1,2,4817.2,7380,10,8,9600,2,79,N,2,2,2,2,87,91
38-00100,1,1,N,0,6,1,3,1,1,73,N,N,N,N,N,317,N,N,N,2,2,35,17
17-03531,14,1,N,0,2,3,4,1,2,11171.6,N,N,3,N,N,76,N,2,2,2,2,90,81
24-01004,80,2,4,0,1,0,N,1,1,4187.9,9160,15,11,89800,8,501,N,2,2,2,2,32,32
36-03710,91,2,3,4,1,0,N,1,2,52864.7,N,N,4,5900,1,44,N,2,1,2,1,206,205
06-07502,12,2,N,0,1,3,5,1,2,33632.6,N,N,3,N,N,501,N,2,2,2,2,97,91
06-08507,12,1,N,0,5,2,4,1,1,3305.1,N,N,3,N,N,501,N,2,2,2,2,91,106
36-04010,52,2,4,0,2,3,6,1,2,50441.6,9470,16,7,69000,7,329,N,2,2,2,2,216,202
17-03529,54,2,6,0,2,0,3,1,2,15097.5,N,N,4,13000,3,82,N,2,1,1,2,159,152
36-04010,27,2,1,0,1,0,2,1,2,50441.6,8191,12,11,100000,8,501,N,2,2,2,2,173,175
19-01700,61,2,1,0,1,0,2,1,1,3572.3,N,N,9,10000,2,170,N,1,1,2,2,113,78
40-00200,10,2,N,1,9,2,4,1,1,90.7,N,N,3,N,N,196,N,1,2,2,2,33,61
26-02702,21,1,6,0,6,N,N,3,0,4817.2,N,N,5,36000,5,N,N,2,2,2,2,33,0
24-01004,41,2,1,0,1,3,5,1,1,4187.9,7280,10,9,225000,9,501,N,2,2,2,2,88,91
24-01004,58,2,1,0,1,0,2,1,1,4187.9,9590,16,12,156000,9,501,N,2,2,2,2,56,56
08-00803,23,1,6,0,1,N,N,3,0,3393.2,7770,10,7,3000,1,N,N,2,2,2,2,71,0
30-00600,1,1,N,0,1,4,6,1,1,16.3,N,N,N,N,N,153,N,N,N,2,2,42,21
08-00803,26,2,6,0,9,0,N,1,2,3393.2,8191,12,11,87000,8,501,N,2,2,2,2,71,72
36-04010,36,2,1,0,2,3,5,1,2,50441.6,N,N,4,0,0,230,N,2,2,2,2,210,210
38-00100,1,2,N,0,1,1,3,1,1,73,N,N,N,N,N,413,N,N,N,2,2,31,38
24-01004,67,1,1,0,1,0,2,1,1,4187.9,7270,10,11,852000,9,501,N,2,2,2,2,35,37
26-02702,41,2,4,0,2,0,N,1,2,4817.2,7870,11,12,90000,9,501,N,2,2,2,2,452,431
24-01004,46,2,1,0,1,1,3,1,2,4187.9,7071,9,10,71000,7,501,N,2,2,2,2,62,61
29-01901,21,2,6,1,3,0,N,1,2,5434.8,7870,11,5,2000,1,15,N,2,2,2,2,75,75
29-01901,34,1,6,0,2,N,N,2,0,5434.8,4971,6,4,7200,2,N,N,2,2,2,2,12,0
30-00600,42,1,6,0,1,0,N,1,1,16.3,490,1,7,59000,7,449,N,2,2,2,2,16,17
32-00405,32,1,1,1,1,1,3,1,2,7990.5,4870,6,5,0,0,78,N,2,2,2,2,93,48
06-08507,60,2,1,0,1,1,3,1,1,3305.1,8191,12,10,62000,7,501,N,2,2,2,2,154,158
17-03529,42,2,4,0,2,3,5,1,2,15097.5,7590,10,1,120000,9,501,N,2,2,2,2,174,150
19-01700,79,1,2,0,1,0,N,1,1,3572.3,N,N,7,40200,5,243,N,2,2,2,2,121,100
30-00600,37,2,1,0,3,2,5,1,2,16.3,8270,12,5,36000,5,161,N,2,2,2,2,96,98
36-03710,13,2,N,4,8,1,2,1,2,52864.7,N,N,3,N,N,183,N,2,2,2,2,296,268
24-01004,68,1,4,0,1,0,N,1,2,4187.9,9480,16,12,175000,9,501,N,2,2,2,2,82,81
30-00600,2,2,N,0,1,2,5,1,1,16.3,N,N,N,N,N,344,N,N,N,2,2,47,40
17-03531,13,2,N,0,2,2,3,1,2,11171.6,N,N,3,N,N,234,N,2,2,2,2,59,64
38-00100,47,1,4,0,1,0,N,1,1,73,380,1,5,160000,9,501,N,2,2,2,2,23,25
06-08507,8,1,N,0,1,1,3,1,2,3305.1,N,N,3,N,N,501,N,2,2,2,2,56,51
17-03531,28,2,1,0,1,1,3,1,1,11171.6,570,2,10,100000,8,501,N,2,2,2,2,96,98
13-04600,75,2,3,0,2,0,N,1,2,3670.4,N,N,7,29300,5,249,N,2,2,2,2,48,48
36-03710,31,2,6,4,1,1,2,1,2,52864.7,8680,14,3,30000,4,103,N,2,2,2,2,53,56
24-01004,54,2,6,0,2,0,2,1,2,4187.9,7390,10,9,6500,1,407,N,2,2,2,2,56,33
17-03529,5,1,N,0,2,3,5,1,2,15097.5,N,N,2,N,N,463,N,2,2,2,2,56,47
36-04010,21,2,2,0,3,0,9,1,1,50441.6,N,N,4,0,0,199,N,2,2,2,2,110,69
17-03529,40,1,4,0,2,0,N,1,1,15097.5,7080,9,7,100000,9,501,N,2,2,2,2,59,58
24-01004,41,2,1,0,1,2,4,1,1,4187.9,7870,11,12,92000,8,501,N,2,2,2,2,68,65
38-00100,15,1,6,0,1,1,3,1,1,73,N,N,4,0,0,501,N,2,2,2,2,224,188
06-08507,30,1,1,0,1,0,2,1,1,3305.1,7380,10,9,571000,9,501,N,2,2,2,2,134,128
17-03531,66,2,4,0,2,0,4,1,1,11171.6,9480,16,9,11500,3,373,N,2,2,2,2,79,70
17-03529,67,2,4,0,2,0,N,1,2,15097.5,N,N,5,2500,1,18,N,2,1,2,2,56,56
29-01901,38,2,6,0,2,0,N,1,2,5434.8,8470,13,10,41000,6,274,N,2,2,2,2,250,245
32-00405,11,2,N,4,1,2,11,1,1,7990.5,N,N,3,N,N,113,N,2,2,2,2,200,287
06-08507,78,2,1,0,1,0,2,1,1,3305.1,N,N,9,12000,3,501,N,2,2,2,2,78,66
51-51255,52,1,1,0,2,3,6,1,1,11224.3,3365,4,7,168000,9,501,3,2,2,2,2,102,102
06-08507,62,2,1,0,6,0,2,1,1,3305.1,N,N,12,8400,2,501,N,2,2,2,2,71,72
17-03529,1,2,N,0,1,4,5,1,2,15097.5,N,N,N,N,N,266,N,N,N,2,2,90,67
17-03529,24,1,6,0,3,N,N,3,0,15097.5,6570,8,7,0,0,N,N,2,2,2,2,26,0
51-51255,4,2,N,0,1,2,4,1,1,11224.3,N,N,1,N,N,501,N,N,N,2,2,54,56
30-00600,13,1,N,0,1,3,5,1,1,16.3,N,N,3,N,N,196,N,2,2,2,2,24,25
26-02702,61,2,3,0,1,0,N,1,1,4817.2,3570,4,8,80000,8,501,N,2,2,2,2,142,139
36-04010,15,1,6,0,2,0,3,1,2,50441.6,N,N,4,0,0,397,N,2,2,2,2,94,95
24-01004,30,2,6,0,1,0,N,1,2,4187.9,9480,16,9,80000,7,501,N,2,2,2,2,108,119
28-01100,94,2,3,0,1,0,N,1,1,2674.3,N,N,10,161200,9,501,N,2,1,2,2,37,35
26-02702,34,2,6,0,2,N,N,3,0,4817.2,N,N,5,34900,5,N,N,2,2,2,2,97,0
19-01700,69,1,2,0,1,0,N,1,1,3572.3,6170,7,7,56000,7,501,N,2,2,2,2,134,136
36-04010,53,2,1,0,2,0,2,1,1,50441.6,8191,12,7,53000,7,501,N,2,2,2,2,107,120
38-00100,11,2,N,0,6,2,4,1,1,73,N,N,3,N,N,41,N,2,2,2,2,118,137
24-01004,68,1,1,0,2,0,2,1,1,4187.9,7390,10,9,364000,9,501,N,2,2,2,2,92,124
08-00803,66,1,4,0,1,0,N,1,2,3393.2,7072,9,6,17000,3,105,N,2,2,2,2,43,44
36-04010,47,1,6,0,2,3,4,1,2,50441.6,8660,14,5,3600,2,27,N,2,2,2,2,127,175
06-07502,30,2,1,0,1,1,3,1,1,33632.6,7270,10,11,746000,9,501,N,2,2,2,2,200,205
08-00803,63,1,1,0,1,1,3,1,1,3393.2,8770,15,10,122000,9,501,N,2,2,2,2,87,82
08-00803,16,1,6,0,1,1,2,1,2,3393.2,8680,14,4,5200,1,39,N,2,2,2,2,64,61
38-00100,37,1,1,0,1,1,3,1,1,73,3895,4,8,46000,5,501,N,2,2,2,2,24,29
51-51255,18,1,6,0,1,3,5,1,1,11224.3,N,N,4,0,0,501,N,2,2,2,2,67,43
08-00803,79,2,1,0,1,0,2,1,1,3393.2,8080,12,12,53800,7,501,N,2,2,2,2,54,55
30-00600,81,1,1,0,1,0,2,1,1,16.3,N,N,7,21000,4,159,N,2,2,2,1,10,12
36-03710,35,2,1,0,1,2,4,1,2,52864.7,7860,11,10,55000,7,286,N,2,2,2,2,84,85
06-07502,53,1,4,2,1,0,N,1,2,33632.6,770,3,8,68400,7,501,N,2,2,2,2,62,64
38-00100,38,1,1,0,1,0,5,1,1,73,4690,6,5,110000,9,501,N,2,2,2,2,61,59
30-00600,31,1,6,0,1,0,N,1,2,16.3,180,0,9,50000,6,380,N,2,2,2,2,22,22
24-01004,82,1,1,0,1,0,3,1,1,4187.9,N,N,7,150700,9,501,N,2,2,1,2,59,59
28-01100,47,2,4,0,1,0,2,1,1,2674.3,7860,11,10,41000,8,405,N,2,2,2,2,53,54
13-04600,44,2,4,0,2,0,N,1,1,3670.4,8680,14,7,18000,4,202,N,2,2,2,2,93,59
30-00600,26,1,1,0,1,3,5,1,1,16.3,9470,16,7,67200,8,501,2,2,2,2,2,328,200
26-02702,54,2,4,0,1,0,N,1,1,4817.2,7870,11,12,120000,9,501,N,2,2,2,2,62,62
30-00600,65,2,1,0,1,0,2,1,1,16.3,7860,11,7,20800,4,398,N,2,2,2,2,11,12
13-04600,46,1,4,0,1,0,N,1,1,3670.4,6890,9,10,98000,9,501,N,2,2,2,2,79,75
17-03529,18,1,6,0,2,0,2,1,2,15097.5,N,N,5,0,0,101,N,2,2,2,2,119,90
06-08507,8,1,N,0,6,3,5,1,1,3305.1,N,N,3,N,N,501,N,2,2,2,2,82,87
51-01301,70,2,1,0,1,0,2,1,1,11162.8,N,N,9,45300,6,501,N,2,2,2,2,114,137
38-00100,81,1,5,0,1,0,N,1,1,73,9390,16,7,54500,7,364,N,2,2,2,2,74,75
32-00405,53,2,1,1,2,0,2,1,1,7990.5,8660,14,3,18200,4,307,N,2,2,2,2,90,91
28-01100,64,1,1,0,2,0,2,1,1,2674.3,N,N,9,0,0,163,N,2,2,2,2,88,83
13-04600,15,2,6,0,2,0,N,1,2,3670.4,N,N,3,0,0,0,N,2,2,2,2,400,394
38-00100,51,1,1,0,1,0,2,1,1,73,570,2,8,95000,9,501,N,2,2,2,2,43,42
06-07502,68,1,6,0,1,0,N,1,2,33632.6,7860,11,10,120000,9,501,N,2,2,2,2,34,35
19-01700,3,2,N,1,1,1,3,1,1,3572.3,N,N,1,N,N,359,N,N,N,2,2,114,91
32-00405,27,1,6,1,8,0,4,1,2,7990.5,5480,6,7,7800,2,90,N,2,2,2,2,100,70
24-01004,1,2,N,0,1,2,4,1,1,4187.9,N,N,N,N,N,488,N,N,N,2,2,22,18
40-00200,48,1,6,0,1,1,3,1,1,90.7,6170,7,7,281000,9,501,N,2,2,2,2,318,319
06-08507,39,2,1,0,6,1,3,1,1,3305.1,3390,4,10,201000,9,501,N,2,2,2,2,94,94
24-01004,49,2,4,0,1,2,3,1,1,4187.9,7970,12,11,250000,9,501,N,2,2,2,2,87,111
08-00803,19,1,6,0,1,0,N,1,2,3393.2,7770,10,7,750,1,5,N,2,2,2,2,130,86
29-01901,24,1,6,0,1,0,2,1,1,5434.8,6070,7,9,110000,8,501,N,2,2,2,2,213,152
36-03710,7,1,N,2,8,3,5,1,2,52864.7,N,N,3,N,N,217,N,2,2,2,2,120,98
13-04600,67,2,3,0,2,0,N,1,1,3670.4,N,N,5,9600,3,72,N,1,2,2,2,161,161
51-51255,65,1,1,0,1,0,2,1,1,11224.3,8290,12,9,110000,8,501,N,2,2,2,1,80,65
17-03529,62,2,4,0,2,N,N,2,0,15097.5,N,N,7,12000,2,N,N,2,1,2,2,66,0
17-03531,45,2,4,0,2,2,3,1,1,11171.6,6180,7,6,28700,5,192,N,2,1,2,2,46,40
13-04600,45,2,6,0,3,0,2,1,1,3670.4,6070,7,7,35000,6,349,N,2,2,2,2,193,148
17-03529,13,1,N,0,2,5,6,1,2,15097.5,N,N,3,N,N,98,N,2,2,2,2,399,326
06-08507,49,2,1,0,6,1,3,1,1,3305.1,8090,12,9,98000,8,501,N,2,2,2,2,121,100
36-03710,83,2,3,2,2,0,N,1,2,52864.7,N,N,1,10800,2,82,N,1,1,2,1,56,55
38-00100,57,1,6,0,1,0,N,1,2,73,N,N,6,15100,3,109,N,2,1,1,2,99,99
08-00803,54,1,4,0,1,0,N,1,2,3393.2,8780,15,7,19400,3,147,N,2,2,2,2,80,79
29-01901,49,2,1,1,1,0,4,1,1,5434.8,N,N,3,0,0,256,N,2,2,2,2,88,66
24-01004,25,1,6,1,1,0,N,1,2,4187.9,9380,16,9,46000,6,349,N,2,2,2,2,98,89
24-01004,46,2,6,0,1,0,N,1,2,4187.9,8680,14,9,113000,8,501,N,2,2,2,2,46,46
26-02702,24,2,6,1,1,0,N,1,2,4817.2,8680,14,7,4000,1,30,N,2,2,2,2,197,198
30-00600,4,1,N,0,1,3,5,1,1,16.3,N,N,1,N,N,196,N,N,N,2,2,22,23
06-08507,58,2,3,0,6,0,2,1,2,3305.1,7690,10,5,2000,1,15,N,2,2,2,2,278,288
28-01100,58,2,1,0,2,0,2,1,1,2674.3,7280,10,9,12000,3,65,N,2,2,2,2,53,42
28-01100,2,2,N,0,2,2,4,1,1,2674.3,N,N,N,N,N,476,N,N,N,2,2,154,154
30-00600,33,2,6,0,6,1,4,1,2,16.3,180,0,4,450,1,3,N,2,2,2,2,24,25
38-00100,36,1,1,0,1,3,5,1,1,73,7280,10,9,131200,9,501,N,2,2,2,2,187,109
36-04010,52,2,1,0,2,0,2,1,2,50441.6,N,N,7,0,0,454,N,2,2,2,2,103,243
32-00405,33,2,1,0,1,2,4,1,1,7990.5,770,3,5,35000,6,264,N,2,2,2,2,39,42
51-51255,4,1,N,0,1,1,3,1,1,11224.3,N,N,2,N,N,501,N,N,N,2,2,46,76
30-00600,56,1,6,0,1,0,N,1,1,16.3,9570,16,9,48400,6,417,N,2,2,2,2,66,64
38-00100,64,2,5,0,9,0,N,1,2,73,N,N,3,9600,2,73,N,2,1,2,2,67,61
17-03529,27,2,6,0,1,0,N,1,2,15097.5,6970,9,7,21000,3,160,N,2,2,2,2,79,77
36-03710,28,1,6,0,2,0,6,1,2,52864.7,N,N,8,0,0,301,N,2,2,2,2,99,101
08-00803,19,1,6,0,6,0,N,1,2,3393.2,8191,12,7,4300,1,32,N,2,2,2,2,144,143
38-00100,21,2,6,0,1,0,N,1,2,73,4890,6,9,57000,6,342,N,2,2,2,2,222,217
06-08507,35,2,1,0,6,1,3,1,2,3305.1,6992,9,9,9000,2,157,N,2,2,2,2,50,52
06-08507,0,2,N,0,6,1,6,1,1,3305.1,N,N,N,N,N,501,N,N,N,2,2,81,95
17-03529,30,1,6,0,6,0,N,1,2,15097.5,7870,11,9,4000,1,30,N,2,2,2,2,45,38
06-08507,12,1,N,0,6,2,4,1,1,3305.1,N,N,3,N,N,501,N,2,2,2,2,47,40
08-00803,23,2,6,4,1,N,N,3,0,3393.2,N,N,4,5000,1,37,N,1,2,2,2,73,0
06-08507,58,1,1,0,1,0,3,1,1,3305.1,770,3,9,250000,9,501,N,2,2,2,2,136,124
24-01004,27,2,6,1,8,0,4,1,1,4187.9,9590,16,7,104400,4,501,N,2,2,2,2,92,174
30-00600,36,1,6,0,1,0,N,1,1,16.3,8770,15,7,62000,8,472,N,2,2,2,2,161,166
17-03531,13,2,N,0,2,2,5,1,1,11171.6,N,N,3,N,N,353,N,2,2,2,2,56,61
30-00600,60,1,1,0,1,0,2,1,1,16.3,6370,7,8,50000,7,380,N,2,2,2,2,71,72
38-00100,3,1,N,1,8,1,2,1,2,73,N,N,2,N,N,52,N,N,N,2,2,153,354
40-00200,19,2,6,0,1,N,N,3,0,90.7,8680,14,7,10000,2,N,N,2,2,2,2,22,0
38-00100,27,1,5,0,1,0,N,1,2,73,770,3,6,46500,6,355,N,2,2,2,2,22,21
40-00200,12,2,N,1,1,0,7,1,2,90.7,N,N,3,N,N,123,N,2,2,2,2,153,55
